effect_type,model_key,distance_metric,n_pairs,mean_distance,median_distance,sd_distance,se_distance
filmstock_cinestill_minus_portra,chatgpt_image_2,distance_all_selected_features,72,7.294266312045333,7.133489631999398,1.882746969800497,0.2218838582673926
filmstock_cinestill_minus_portra,chatgpt_image_2,distance_color_features,72,5.691514916942426,5.466071350392625,1.6617655245673617,0.19584094519393366
filmstock_cinestill_minus_portra,chatgpt_image_2,distance_contrast_texture_features,72,5.177613948394093,5.4465985522417055,1.7137654647581755,0.20196919691563686
filmstock_cinestill_minus_portra,chatgpt_image_2,distance_structure_features,72,2.2578203867050917,2.076569794604989,1.0719179929711602,0.12632674695096358
filmstock_cinestill_minus_portra,xai_grok_imagine,distance_all_selected_features,72,7.259103065433068,6.976867419612706,2.187778724755529,0.2578321953350487
filmstock_cinestill_minus_portra,xai_grok_imagine,distance_color_features,72,5.652408796428722,5.694986238819636,1.5170236067624816,0.17878294659363755
filmstock_cinestill_minus_portra,xai_grok_imagine,distance_contrast_texture_features,72,5.127465199533039,4.636749909346024,2.1941257667459917,0.2585802014070373
filmstock_cinestill_minus_portra,xai_grok_imagine,distance_structure_features,72,1.9417366835003458,1.7909054796084265,0.9350067602466503,0.11019160343761182
lighting_warm_minus_cool,chatgpt_image_2,distance_all_selected_features,72,10.334898471984994,10.363016919932907,2.046417646299879,0.24117263247307635
lighting_warm_minus_cool,chatgpt_image_2,distance_color_features,72,9.10954533249192,8.902329884665974,1.943113427261486,0.22899811350520502
lighting_warm_minus_cool,chatgpt_image_2,distance_contrast_texture_features,72,5.639543864193993,5.2993164275621805,1.746166797691875,0.2057877306217872
lighting_warm_minus_cool,chatgpt_image_2,distance_structure_features,72,2.35182886082476,2.3993894153452846,1.0405983902420741,0.12263569637199599
lighting_warm_minus_cool,xai_grok_imagine,distance_all_selected_features,72,8.906056523659917,8.644448175690245,2.438538399348998,0.287384506393911
lighting_warm_minus_cool,xai_grok_imagine,distance_color_features,72,7.367825249456284,7.403095923534869,1.8040837483754675,0.21261330871745637
lighting_warm_minus_cool,xai_grok_imagine,distance_contrast_texture_features,72,5.574008472554865,4.764786657090539,2.4278194737963923,0.2861212689030308
lighting_warm_minus_cool,xai_grok_imagine,distance_structure_features,72,2.374493499686167,2.095625715194577,1.281007324150041,0.15096816094268797
scan_pushed_minus_clean,chatgpt_image_2,distance_all_selected_features,72,7.226406400541224,7.15029441136592,1.6891057637577145,0.19906302328239375
scan_pushed_minus_clean,chatgpt_image_2,distance_color_features,72,5.6316696894456,5.641753666975862,1.4000711716034404,0.16499996993076455
scan_pushed_minus_clean,chatgpt_image_2,distance_contrast_texture_features,72,5.175624219599665,5.13096064010124,1.546824475944512,0.18229501270761536
scan_pushed_minus_clean,chatgpt_image_2,distance_structure_features,72,2.144039041138095,2.096080848014908,1.0467810580397858,0.1233643307595936
scan_pushed_minus_clean,xai_grok_imagine,distance_all_selected_features,72,6.843455608051065,6.346759066020084,2.3526482903434194,0.2772622599747949
scan_pushed_minus_clean,xai_grok_imagine,distance_color_features,72,5.309147882381314,5.165667643038784,1.5402192397672034,0.18151657815889644
scan_pushed_minus_clean,xai_grok_imagine,distance_contrast_texture_features,72,4.89822520607675,4.351502617836336,2.3360125201304656,0.2753017156534881
scan_pushed_minus_clean,xai_grok_imagine,distance_structure_features,72,1.8987619051543032,1.5843586444535114,1.1502023290609835,0.13555264443593038
