distance_metric,metric_label,term,term_label,partial_r2,partial_eta2,f_statistic,df_term,df_residual,p_value,bh_fdr_p
distance_all_selected_features,All selected features,model,model,2.4261370107115044e-05,2.4261370107115044e-05,0.010214284627635163,1,421,0.9195463845594909,0.9598466655154219
distance_all_selected_features,All selected features,effect_type,effect_type,0.1983369820873726,0.1983369820873726,52.07915769658495,2,421,0.0,0.0
distance_all_selected_features,All selected features,model:effect_type,model by effect_type,0.02023250716255164,0.02023250716255164,4.346891266399378,2,421,0.013533091033133604,0.046399169256458074
distance_all_selected_features,All selected features,scene,scene,0.019248613673672272,0.019248613673672272,4.1313560549582915,2,421,0.01671686790622473,0.05015060371867419
distance_all_selected_features,All selected features,run_block,run_block,0.018122852308614358,0.018122852308614358,3.885272633071172,2,421,0.021282888301774383,0.05107893192425852
distance_all_selected_features,All selected features,replicate,replicate,0.0011258626372695289,0.0011258626372695289,0.4745224173507136,1,421,0.49129340901950125,0.6815224111107124
distance_color_features,Color features,model,model,4.891348028863955e-05,4.891348028863955e-05,0.020593582505309196,1,421,0.8859603063452619,0.9598466655154219
distance_color_features,Color features,effect_type,effect_type,0.33648752360922324,0.33648752360922324,106.75100505273043,2,421,0.0,0.0
distance_color_features,Color features,model:effect_type,model by effect_type,0.05054794230281319,0.05054794230281319,11.206823734259313,2,421,1.8116526410039135e-05,0.00014493221128031308
distance_color_features,Color features,scene,scene,0.03478936914346297,0.03478936914346297,7.587113082457776,2,421,0.000579363769529051,0.003476182617174306
distance_color_features,Color features,run_block,run_block,0.00012472572849969246,0.00012472572849969246,0.0262580409024658,2,421,0.9740852988938771,0.974085298893877
distance_color_features,Color features,replicate,replicate,2.4076143535266868e-05,2.4076143535266868e-05,0.010136300471372416,1,421,0.9198530544522792,0.9598466655154219
distance_contrast_texture_features,Contrast and texture,model,model,5.47621624826991e-05,5.47621624826991e-05,0.023056133008918376,1,421,0.8793839277902928,0.9598466655154219
distance_contrast_texture_features,Contrast and texture,effect_type,effect_type,0.006183805901795918,0.006183805901795918,1.3097906333768334,2,421,0.27097397001175105,0.4645268057344304
distance_contrast_texture_features,Contrast and texture,model:effect_type,model by effect_type,0.0007019062057857991,0.0007019062057857991,0.1478550366857171,2,421,0.8626009147114653,0.9598466655154219
distance_contrast_texture_features,Contrast and texture,scene,scene,0.027568768411471527,0.027568768411471527,5.967749247558428,2,421,0.0027816223246750482,0.013351787158440232
distance_contrast_texture_features,Contrast and texture,run_block,run_block,0.023269940049666957,0.023269940049666957,5.0150216332074145,2,421,0.007039528617787005,0.02815811447114802
distance_contrast_texture_features,Contrast and texture,replicate,replicate,0.001939013154476529,0.001939013154476529,0.8179104772091114,1,421,0.36630902385517505,0.558065869754549
distance_structure_features,Structure features,model,model,0.00731294149001378,0.00731294149001378,3.101428935637555,1,421,0.07894951818322848,0.14861349459869422
distance_structure_features,Structure features,effect_type,effect_type,0.003183085752104521,0.003183085752104521,0.6721791547082151,2,421,0.5111418083330344,0.6815224111107124
distance_structure_features,Structure features,model:effect_type,model by effect_type,0.0046861040129707685,0.0046861040129707685,0.9910691478411768,2,421,0.3720439131696993,0.558065869754549
distance_structure_features,Structure features,scene,scene,0.015936858281133587,0.015936858281133587,3.4090380240427853,2,421,0.03398867566371888,0.07415711053902302
distance_structure_features,Structure features,run_block,run_block,0.018241052089289788,0.018241052089289788,3.9110837471528908,2,421,0.02075031788154602,0.05107893192425852
distance_structure_features,Structure features,replicate,replicate,0.007238347183444085,0.007238347183444085,3.0695627249343937,1,421,0.08049897624095936,0.14861349459869422
